indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
01/09/2019,57885.3,22144.7,57885306.41,56887830.18,997476.2268,57885306.41,19561438.28,15872044.55,20612694.85,1839128.726,57885306.41,41090401.96,6372597.214,16428217.44,2192061.576,7182926.619,6359574.893,1949185.858,605838.353,8902170.018,1202878.618,2719800.957,3970054.858
01/10/2019,66325.6,24652.7,66325579.59,65144928.12,1180651.478,66325579.59,21884744.73,17749686.58,24432918.57,2258229.708,66325579.59,45492474.3,7475899.072,17942183.89,2403879.615,7900014.451,6957491.715,2143017.178,669988.3783,10075045.16,1410451.356,4712825.328,4634783.45
01/11/2019,67943.7,24270.7,67943710.19,66454203.74,1489506.445,67943710.19,22763201.55,16506702.37,26455726,2218080.261,67943710.19,46073845.36,8816995.301,17296630.39,2337204.021,7523217.587,7072708.039,2347744.246,679345.7818,10247962.26,1572523.614,4829969.163,5219409.783
01/12/2019,83524.6,29147.9,83524644.29,82246180.68,1278463.614,83524644.29,27960470.5,21105019.72,31600065.93,2859088.144,83524644.29,57646427.96,13299621.48,20776781.42,2985037.7,7985919.656,8877286.117,2838731.673,883049.9169,11316019.27,2197595.469,4638017.913,7726583.681
01/01/2020,70145,23483.3,70145010.27,69104127.61,1040882.661,70145010.27,25121140.42,16421681.81,26279836.48,2322351.557,70145010.27,47496667.89,8727149.313,17489114.38,2513045.891,7612363.148,7726181.493,2685147.644,743666.0236,11066696.53,1775180.164,3768285.224,6038180.459
01/02/2020,72494.4,23702,72494433.66,71514175.15,980258.5147,72494433.66,23982883.64,18677850.86,27241035.99,2592663.181,72494433.66,50272765.35,8876881.394,18718680.52,2642994.223,8169113.796,8316318.598,2778662.821,770114.0015,10866053.98,1867271.736,3407081.45,6081261.137
01/03/2020,85778,26996.7,85778031.09,84174875.51,1603155.575,85778031.09,26532575.53,22420795.89,33716809.2,3107850.463,85778031.09,61417479.25,8284935.993,26179704.49,2954223.175,10540220.76,9503388.959,3248772.943,706232.933,14387138.38,1048525.307,3460494.399,5464393.749
01/04/2020,75009.6,23142.7,75009596.64,71798954.71,3210641.929,75009596.64,22263621.15,20850415.69,28559526.14,3336033.666,75009596.64,54905216.88,7039345.747,23511297.23,2723790.469,9518952.156,8667536.044,2981509.854,462785.3768,10786534.83,1071185.004,3758966.101,4487693.823
01/05/2020,78594.5,24012.7,78594521.82,74966605.03,3627916.795,78594521.82,24917663.39,19703362.4,29750672.2,4222823.826,78594521.82,54285024.12,7437048.077,22865786.67,2588780.474,9450381.787,8676036.988,2771794.518,495195.6094,11160547.92,2199429.092,5705563.465,5243957.218
01/06/2020,78232.9,23449.5,78232859.6,74554853.96,3678005.643,78232859.6,24031410.14,20569940.21,29332592.01,4298917.238,78232859.6,53685318.33,7839895.916,22614018.9,2512756.031,9239346.591,8376343.244,2610763.01,492194.6345,10828484.99,2556936.805,5726204.196,5435915.285
01/07/2020,211140.7,50791.4,81140696.22,76413721.76,4726974.457,81140696.22,24935747.29,22143208.63,29569224.4,4492515.904,81140696.22,55359666.66,8048539.859,23393038.41,2630487.791,9592798.115,8463266.123,2712593.828,518942.5376,11217153.19,2502616.619,6125265.839,5935993.913
01/08/2020,80412,22953,80411973.29,76406528.27,4005445.016,80411973.29,24868416.65,21188270.69,29644413.81,4710872.144,80411973.29,55526501.8,8262233.877,,2684429.993,9681663.083,8611272.962,2842695.03,552759.8526,11365760.89,1651664.578,5086198.952,6781847.072
01/09/2020,77055.8,21628,77055774.36,73111415.16,3944359.195,77055774.36,24268469.26,20660854.98,27583639.7,4542810.416,77055774.36,53998395.66,8164340.136,22018485.45,2574722.639,9349357.228,8411476.062,2932524.24,547489.9054,11089691.92,1599708.873,4776635.482,5591342.428
01/10/2020,89224.3,24105.8,89224281.05,84622602.75,4601678.305,89224281.05,27348110.5,23565536.12,33253696.39,5056938.047,89224281.05,NaN,9900033.946,23772929.58,2819496.843,10152813.64,9440006.04,3508831.994,,12442138.22,1961731.833,,6525379.813
01/11/2020,200.5,24010.7,91093507.31,86255330.61,4838176.706,91093507.31,28832513.45,23551887.33,33470452.08,5238654.451,91093507.31,60913255.91,11401050.5,23577259.62,2712393.487,9625513.239,9366000.915,,630822.706,12606465.75,2071758.234,7962443.79,7539583.62
01/12/2020,115806.1,29931.1,115806128.1,111830218.6,3975909.551,115806128.1,36284788.05,31300615.02,41558670.65,6662054.394,115806128.1,80643208.3,19000862.43,29052388.41,3568526.302,10374402.29,13502805.48,4262746.6,881476.7888,14197119,3022975.198,7711912.075,10230913.54
01/01/2021,98007.6,24420,98007583.25,94524545.27,3483037.987,98007583.25,31878415.61,26481717.36,34421611.73,5225838.555,98007583.25,67171235.97,12982834.1,24393220.47,2973192.499,,,4076717.804,788246.1859,14237729.54,2206737.464,,
01/02/2021,92954.2,22322.6,92954233.68,89908053.02,3046180.666,92954233.68,30090418.94,26089199.97,32111865.51,4662749.261,92954233.68,65274742.25,12129210.03,23633068.01,2964209.932,10043345.31,11768651.95,3978725.7,757531.3155,13331244.03,1985959.508,5106560.634,7255727.266
01/03/2021,107225.9,24627.6,107225884.5,103243215.3,3982669.194,107225884.5,33646699.76,28304088.35,39721336.18,5553760.201,107225884.5,75459017.55,12468763.32,29069610.33,3638242.453,11823788.25,13353172.98,4214424.175,891016.0557,14963310.66,,6918341.604,7679985.788
01/04/2021,106870.2,23407.5,106870185.9,102742178.6,4128007.244,106870185.9,33030717.34,28509160.1,39528435.06,5801873.388,106870185.9,76493949.46,,29827096.11,3616384.033,12309094.62,14047026.36,4041721.715,912712.9804,14912712.28,2217601.199,6042114.412,7203808.534
01/05/2021,110604.7,23368.4,110604694.6,104997658.2,5607036.33,110604694.6,33391018.41,29448299.39,41132600.51,6632776.246,110604694.6,78026097.55,10758291.66,31328427.63,3801495.08,13116541.51,14204902.67,3924175.62,892263.3778,14517188.31,2686103.389,7849584.393,7525720.927
01/06/2021,116287.9,23678,116287893,111477594.5,4810298.41,116287893,34735136.74,32637663.36,42074159.72,6840933.135,116287893,80623853.66,11744001.5,32622021.61,3921981.953,13537963.96,14134807.88,3748454.174,914622.5901,14484893.56,3640081.868,9514178.631,8024885.233
01/07/2021,125658.6,24779.5,125658552.5,120904098.3,4754454.215,125658552.5,37973547.56,37146178.9,43727330.44,6811495.634,125658552.5,87238128.85,13755772.37,34683058.37,4322896.98,14292062.1,15147184.63,3985101.607,1052052.786,15724007.71,4051857.507,9222787.62,9421770.845
01/08/2021,124840.3,23990.1,124840320,120181530.9,4658789.02,124840320,38180625.56,NaN,44242610.35,6982561.109,124840320,87044720.92,13762712.18,34500426.75,,14512831.62,14736387.95,4074608.926,1087448.228,15920169.14,2944642.775,8443256.2,10487530.93
01/09/2021,123002.3,22962,123002252.4,118585472.2,4416780.259,123002252.4,38080750.86,34575381.28,43445911.38,6900208.91,123002252.4,87296730.51,14164245.34,34298836.96,4333686.607,14489891.67,14721979.89,4184266.093,1103823.945,16336755.11,2805934.305,7977185.494,8585647.018
01/10/2021,140487.5,25386.7,140487487.3,136000643.3,4486843.92,140487487.3,43323345.69,39697514.99,50159841.63,7306784.95,140487487.3,97615705.17,17838460.22,37081602.26,4773476.075,15561032,16349404.55,4785226.402,1226503.662,18501724.82,3328328.421,10919887.99,10121840.86
01/11/2021,141702,25026.6,141701960.7,135950778.8,5751181.809,141701960.7,43762928.15,39925207.45,50752243.39,7261581.669,141701960.7,95609863.77,18180428.41,36354580.02,4509964.85,14720418.14,15761449.15,4869397.981,1213625.23,18664160.82,3209173.083,12754368.89,11464394.1
01/12/2021,183983.2,31595.7,183983151.9,178866721.2,5116430.634,183983151.9,56640033.15,55432191.37,62999676.15,8911251.213,183983151.9,128135286.6,31992432.65,45199914.72,5859939.041,16275221.46,21265049.45,5863700.608,1679028.685,21753939.73,4759532.634,12669269.76,16665123.15
01/01/2022,154517.1,45463.4,154517094.2,149697614.6,4819479.554,154517094.2,46962602.22,46053650.13,54048333.12,7452508.718,154517094.2,103783610.3,20364496.48,37505172.62,4860317.68,16104766.21,17408486.73,6138441.197,1401929.429,21330213.29,3782646.219,12187552.35,13433071.98
01/02/2022,152202.6,23802.1,152202573.4,148406529.3,3796044.076,152202573.4,46290956.21,45283575.25,53705893.17,6922148.759,152202573.4,105530494,20067560.91,38209790.62,5045920.421,16139816.5,18260738.31,6436027.691,1370639.589,20305446.86,,9189746.139,13301387.17
01/03/2022,16.5,24612.4,168982502.3,164321107.3,466134.9981,168982502.3,51262080.99,47364363.88,,7940040.869,168982502.3,118823011.7,19759206.71,45418860.16,5922819.509,18419163.96,20827602.02,6886240.029,1589119.305,22942013.09,3912852.426,10898787.99,
01/04/2022,177148.1,24140.5,177148082.8,173003799.1,4144283.743,177148082.8,53189998.68,50063972.79,65357591.09,NaN,177148082.8,127796957,20641687.4,49991675.91,6746166.557,19309461.59,22877841.24,6510665.781,1719458.547,23131265.85,4228053.874,,11910475.62
01/05/2022,179639.2,23234.2,179639238.6,175358487.5,4280751.113,179639238.6,52738110.62,49886787.86,68070088.23,8944251.942,179639238.6,126457871.8,18583941.03,50150351.46,6667329.665,20121124.43,22841532.85,6314109.47,1779482.857,23578638.71,5213152.564,12039595.55,12349980.06
